k1_wang,k2_wang,kx,ky,zero_field_energy_meV,target_weight_raw,target_weight,target_probability,target_relative,active_weight,common_weight
0.95,0.025,0.050186874608004264,0.0011590162225886902,24.33876605428128,9.005287870293208e-5,0.00011823841068892216,0.00035062324986331135,0.44131630852094506,0.00026526386365705555,0.0006226757014636334
0.975,0.025,0.05152519126421771,0.0011590162225886902,24.703288881164244,9.554701557652833e-5,0.00011459013748120551,0.00033980468928705097,0.4276993928746302,0.00026721111336172875,0.0006269564904374406
0.0,0.05,-0.0013383166562134473,0.0023180324451773805,24.588518146703066,9.360074808037534e-5,0.00011507426878225202,0.00034124032842618044,0.42950637790912466,0.0002639015015282963,0.00062089335163787
0.025,0.05,0.0,0.0023180324451773805,24.678903014034244,0.0001030762972790103,0.00011552374274697682,0.00034257319497371365,0.4311840069446713,0.000270815041167467,0.0006230381537475377
0.05,0.05,0.0013383166562134473,0.0023180324451773805,24.593566262803783,0.00011351171331941079,0.0001168468179922573,0.000346496631863731,0.4361222895191793,0.00027780567133947885,0.0006236594065849115
0.075,0.05,0.0026766333124268937,0.0023180324451773805,24.338766047637783,0.00012448164998159005,0.00011823841068892216,0.00035062324986331135,0.44131630852094506,0.0002845482379285223,0.0006232392280551217
0.1,0.05,0.004014949968640342,0.0023180324451773805,23.93876581216098,0.00013567122618912488,0.0001200616522618226,0.00035602987603370305,0.4481214257058441,0.00029004465757376333,0.000622358232743007
0.125,0.05,0.005353266624853788,0.0023180324451773805,23.432553854112804,0.0001468016075864155,0.0001239332769906807,0.00036751076144796017,0.46257198473621974,0.00033796092951461566,0.0006214746849856342
0.15,0.05,0.006691583281067235,0.0023180324451773805,22.867531688902158,0.0001576073968556409,0.00013135382491497044,0.00038951559569616514,0.4902686426840851,0.00034738870931977985,0.0006208159228792813
0.175,0.05,0.008029899937280682,0.0023180324451773805,22.292416693589512,0.00016788230494208382,0.00014219709923414244,0.0004216701557819738,0.5307403791268795,0.00035684823684639265,0.0006204148691011866
0.2,0.05,0.009368216593494131,0.0023180324451773805,21.751425908103776,0.000177516083572144,0.00015479430373168814,0.000459025806575883,0.5777585329920107,0.00036863740269029707,0.0006202068221050861
0.225,0.05,0.010706533249707577,0.0023180324451773805,21.280536745653627,0.00018647612711365655,0.00016737142308676227,0.0004963218970468285,0.6247017205168468,0.00038353804386774456,0.0006201052196461171
0.25,0.05,0.012044849905921024,0.0023180324451773805,20.905485649271228,0.00019477600777488248,0.00017907056402902529,0.0005310144372618459,0.6683679171734421,0.00040128539993950613,0.0006200413732192443
0.275,0.05,0.013383166562134473,0.0023180324451773805,20.640758318201158,0.00020246244467533376,0.00018973226866762885,0.000562630572049931,0.7081619579274929,0.0004203032491303482,0.0006199849792299335
0.3,0.05,0.014721483218347917,0.0023180324451773805,20.48899814394752,0.00020958122849136637,0.00019922525193153827,0.0005907809896976015,0.743593830755196,0.00043846040431900194,0.0006199357325766499
0.325,0.05,0.016059799874561367,0.0023180324451773805,20.440699125599092,0.0002161663869148121,0.00020753545873846397,0.0006154240113747653,0.7746110760793644,0.00045428846185753134,0.0006198963923371741
0.35,0.05,0.01739811653077481,0.0023180324451773805,20.474540698261748,0.00022227434402662057,0.00021480839468929495,0.0006369911182418993,0.8017567830220468,0.00046735393592339943,0.0006198643429441641
0.375,0.05,0.01873643318698826,0.0023180324451773805,20.559060415637614,0.0002279940431558506,0.0002213416111401475,0.0006563646667420146,0.8261415404799605,0.0004778543182216504,0.0006198358583502609
0.4,0.05,0.02007474984320171,0.0023180324451773805,20.656280411503744,0.0002334276167056015,0.00022740886730340394,0.0006743564602828718,0.8487871348956688,0.0004861730404219609,0.0006198028512726069
0.425,0.05,0.021413066499415153,0.0023180324451773805,20.72726961313806,0.00023867048672397145,0.00023316252027986157,0.0006914182974087009,0.8702622281186423,0.000492670341277972,0.0006197463477821584
