band_241_meV,band_242_meV,band_243_meV,band_244_meV,band_245_meV,band_246_meV
-104.16405059181656,-36.643301077727074,15.396675077413663,23.35284849713487,54.0931761115339,102.79882025138029
-103.69575676234396,-36.65414133558966,15.37313622843582,23.342606727012,54.09296314897688,102.47112289364904
-103.12635963915514,-36.6690831696403,15.340229291350122,23.328190998199105,54.09155320650187,102.08045773527859
-102.48472180539336,-36.68797144805603,15.297985987076173,23.309572466836965,54.08826183250204,101.65165011880272
-101.78922506998731,-36.710638345398465,15.246440598084847,23.286732689917507,54.08238019846462,101.20057537520672
-101.05230642992814,-36.73690387901097,15.185629728692644,23.25966337981795,54.073179235719074,100.73734343127119
-100.28290388332695,-36.76657646670554,15.115592088651939,23.228366103313892,54.059914320575466,100.268526266335
-99.4877326436655,-36.799453503352765,15.036368298715207,23.192851936078913,54.04183050356334,99.79851127041226
-98.67199172436344,-36.83532195430156,14.948000717449853,23.15314108293323,54.018168264577625,99.3302948325881
-97.83978963181481,-36.87395896344629,14.850533289364693,23.109262473282552,53.98816975957964,98.86594873893338
-96.99442186340178,-36.91513247418938,14.744011415037276,23.061253340173437,53.95108550618863,98.40689874249523
-96.13856316034415,-36.9586018614068,14.628481844846597,23.009158790147705,53.9061814358825,97.95409443423739
-95.27440648544513,-37.00411857306796,14.503992598433701,22.953031370064252,53.852746219753435,97.50811521771567
-94.40376639630647,-37.05142678001072,14.370592912826032,22.89293063561033,53.79009875462337,97.06923824342172
-93.52815744107264,-37.10026403297199,14.228333222523638,22.828922725404478,53.71759567724522,96.63748368881315
-92.64885444301181,-37.15036192584638,14.077265175373787,22.761079943291904,53.63463875837467,96.21264689234651
-91.76693935689225,-37.201446764726285,13.917441688287733,22.68948035073173,53.540682016477085,95.79432346316376
-90.8833380143119,-37.25324024224467,13.748917046901365,22.614207370254864,53.43523838459106,95.38193145545085
-89.9988491689568,-37.30546011730106,13.571747053449737,22.535349400485433,53.31788576428798,94.97473339145814
-89.11416762521581,-37.357820900230486,13.385989226737607,22.45299944268873,53.188272308377854,94.5718599870906
-88.22990278624268,-37.4100345440212,13.191703058016122,22.367254738514948,53.04612078979423,94.17233668019684
-87.34659363209106,-37.46181114227591,12.988950326042863,22.27821641850337,52.89123193695505,93.77511337889356
-86.46472089844544,-37.51285963499335,12.77779547411711,22.18598916083719,52.72348664560421,93.37909719531635
-85.58471704753856,-37.56288852356594,12.55830605134575,22.090680859940353,52.54284701172684,92.9831873171674
-84.70697448814877,-37.61160659653183,12.330553219625415,21.992402304749646,52.34935616809105,92.58631063953413
-83.83185239989167,-37.658723668186106,12.094612327203006,21.89126686669709,52.1431369456815,92.18745639647601
-82.95968243915605,-37.70395133214717,11.850563548873907,21.78739019788261,51.92438941884122,91.78570785925504
-82.09077354470895,-37.747003732542034,11.598492592061616,21.68088994019176,51.69338742687694,91.38026924757068
-81.22541601504226,-37.787598355670525,11.338491467362914,21.571885446610246,51.45047419356002,90.97048633222387
-80.36388499377658,-37.82545684532603,11.070659321291375,21.46049751637638,51.19605718789227,90.55585974566964
-79.50644347189406,-37.86030584534836,10.795103328288558,21.346848146041122,50.93060238382878,90.13605067335287
-78.65334489341203,-37.89187787335958,10.511939638423982,21.231060298908883,50.654628083575766,89.71087926429271
-77.80483543410404,-37.91991222979134,10.221294376632903,21.113257695670278,50.368698468295854,89.28031667107149
-76.96115600889517,-37.944155947037515,9.923304688776955,20.99356462942908,50.07341703308251,88.84447203164198
-76.12254405258432,-37.96436478361709,9.618119829555186,20.872105808534673,49.76942005049289,88.40357590479907
-75.28923510951348,-37.98030426887568,9.305902286852866,20.749006230874947,49.45737019055468,87.95796167611772
-74.46146426049502,-37.991750804083075,8.986828937062727,20.624391093446558,49.13795040591712,87.50804630109552
-73.63946740912553,-37.99849282620099,8.661092225810819,20.4983857410525,48.81185817053249,87.05431150258916
-72.82348244460925,-38.00033204110018,8.328901368531954,20.37111565805602,48.47980013967925,86.59728624662543
-72.0137502937311,-37.99708473341621,7.99048356563739,20.242706506897793,48.14248727937714,86.13753103094157
-71.21051587096953,-37.98858316057882,7.646085227113925,20.11328421716115,47.80063049530058,85.67562426527874
-70.4140289323793,-37.974677039000014,7.295973201868605,19.982975128413223,47.454936774981554,85.21215081874391
-69.62454483604625,-37.9552351306968,6.940436007453664,19.85190619002463,47.1061058435729,84.74769266118996
-68.84232520922832,-37.930146938706415,6.5797850561727556,19.720205220526097,46.75482732190196,84.28282142891767
-68.06763852014024,-37.89932451980625,6.214355874061568,19.588001228633082,46.40177836672242,83.81809269089298
-67.30076055009438,-37.862704422721514,5.844509309365164,19.455424797475835,46.04762176618868,83.35404167088247
-66.54197476006395,-37.82024975958772,5.470632727407405,19.322608532760334,45.693004458785424,82.89118018227317
-65.79157254412073,-37.77195241738022,5.093141188645095,19.189687574906973,45.33855644090703,82.42999454910633
