k1,k2,magnetic_band,energy_meV
0.05,0.0,82,35.86945822542454
0.05,0.0,83,36.378738868906645
0.05,0.0,84,37.975926777440364
0.05,0.0,85,39.8533193367156
0.05,0.0,86,40.43337622137284
0.05,0.0,87,42.14095813356468
0.05,0.0,88,42.45634176494462
0.05,0.0,89,43.80135250934457
0.05,0.0,90,44.96167784795972
0.05,0.0,91,45.631065881398264
0.05,0.0,92,46.76945972771103
0.05,0.0,93,47.313267296617404
0.05,0.0,94,48.27973587112093
0.05,0.0,95,49.27913395541031
0.05,0.0,96,50.42189362353404
0.05,0.0,97,51.19474569985267
0.05,0.0,98,51.59444528706877
0.05,0.0,99,52.404375241657355
0.05,0.0,100,53.25201576040033
0.05,0.0,101,53.81493185150692
0.05,0.0,102,54.50743163585847
0.05,0.0,103,56.779735703878906
0.05,0.0,104,59.07751972646058
0.05,0.0,105,61.53766610017891
0.05,0.0,106,64.16378332947741
0.05,0.0,107,65.5553609931959
0.05,0.0,108,67.16062567276732
0.05,0.0,109,69.07494966099341
0.05,0.0,110,70.96432251549206
0.05,0.0,111,72.40485786593099
0.05,0.0,112,74.62048260695936
0.05,0.0,113,76.96213451924798
0.05,0.0,114,79.55521553771926
0.05,0.0,115,82.64359614175463
0.05,0.0,116,86.08085335709804
0.05,0.0,117,90.88640019284719
0.05,0.0,118,95.85359630669278
0.075,0.0,1,-93.57910964339311
0.075,0.0,2,-86.46207675035487
0.075,0.0,3,-81.51789328795991
0.075,0.0,4,-77.43082611175831
0.075,0.0,5,-74.87475467583255
0.075,0.0,6,-72.42294573559317
0.075,0.0,7,-68.93353991046416
0.075,0.0,8,-66.53765956934942
0.075,0.0,9,-64.80838782946645
0.075,0.0,10,-62.17134143179857
0.075,0.0,11,-60.053181218849346
0.075,0.0,12,-57.954003765489546
0.075,0.0,13,-55.28314824011812
0.075,0.0,14,-54.14504883666936
0.075,0.0,15,-52.02981307008022
0.075,0.0,16,-50.26679235816772
0.075,0.0,17,-48.54925518367904
0.075,0.0,18,-47.65958851454519
0.075,0.0,19,-45.43100055247572
0.075,0.0,20,-44.486617906834
0.075,0.0,21,-43.27416383567186
0.075,0.0,22,-41.583535188667184
0.075,0.0,23,-40.74051436493875
0.075,0.0,24,-39.94903207726787
0.075,0.0,25,-38.639253635884785
0.075,0.0,26,-37.865746190037214
